,matchday,games,home,away
286,32,201,1. FC Köln ,Eintracht Frankfurt 
287,32,209,Bayer 04 Leverkusen ,Arminia Bielefeld 
288,33,51,SpVgg Greuther Fürth ,Bayern München 
289,33,99,1. FC Union Berlin ,Hertha BSC 
290,33,151,TSG Hoffenheim ,Bor. Mönchengladbach 
291,33,161,VfL Bochum ,VfL Wolfsburg 
292,33,164,FC Augsburg ,Eintracht Frankfurt 
293,33,167,Borussia Dortmund ,SC Freiburg 
294,33,189,RB Leipzig ,1. FC Köln 
295,33,199,1. FSV Mainz 05 ,Bayer 04 Leverkusen 
296,33,249,Arminia Bielefeld ,VfB Stuttgart 
297,34,65,Bor. Mönchengladbach ,VfB Stuttgart 
298,34,109,Bayern München ,Arminia Bielefeld 
299,34,115,VfL Bochum ,SC Freiburg 
300,34,132,SpVgg Greuther Fürth ,1. FC Union Berlin 
301,34,177,Bayer 04 Leverkusen ,FC Augsburg 
302,34,197,Eintracht Frankfurt ,VfL Wolfsburg 
303,34,202,Hertha BSC ,RB Leipzig 
304,34,219,1. FSV Mainz 05 ,Borussia Dortmund 
305,34,224,1. FC Köln ,TSG Hoffenheim 
